|id         |title                                                                                               |description              |
|-----------|----------------------------------------------------------------------------------------------------|-------------------------|
|11         | Maybe                                                                                              |Future                   |
|11         | Maybe                                                                                              |Sadness                  |
|11         | Maybe                                                                                              |Love                     |
|11         | Maybe                                                                                              |Obsessive-compulsive     |
|12         | A Mothers Love                                                                                     |Love                     |
|12         | A Mothers Love                                                                                     |Family                   |
|12         | A Mothers Love                                                                                     |Freedom                  |
|12         | A Mothers Love                                                                                     |Friendship               |
|13         | Bei Mir Bist Du Schoen                                                                             |Loneliness               |
|13         | Bei Mir Bist Du Schoen                                                                             |Love                     |
|13         | Bei Mir Bist Du Schoen                                                                             |Relationship             |
|13         | Bei Mir Bist Du Schoen                                                                             |Respect                  |
|14         | Chicken Fried                                                                                      |Family                   |
|14         | Chicken Fried                                                                                      |Party                    |
|14         | Chicken Fried                                                                                      |Nightlife                |
|14         | Chicken Fried                                                                                      |Youthful                 |
|16         | Make Him Wait                                                                                      |Mindset                  |
|16         | Make Him Wait                                                                                      |Feminism                 |
|16         | Make Him Wait                                                                                      |Relationship             |
|16         | Make Him Wait                                                                                      |Love                     |
|16         | Make Him Wait                                                                                      |Youthful                 |
|17         | Jolene                                                                                             |Fear                     |
|17         | Jolene                                                                                             |Sadness                  |
|17         | Jolene                                                                                             |Loneliness               |
|18         | I'm My Own Grandpa                                                                                 |Psychotic                |
|18         | I'm My Own Grandpa                                                                                 |Maniac                   |
|18         | I'm My Own Grandpa                                                                                 |Love                     |
|19         | Pancho And Lefty                                                                                   |Country-Life             |
|19         | Pancho And Lefty                                                                                   |Freedom                  |
|19         | Pancho And Lefty                                                                                   |Travel                   |
|20         | Forevermore                                                                                        |Loneliness               |
|20         | Forevermore                                                                                        |Love                     |
|20         | Forevermore                                                                                        |Happiness                |
|23         | Lily Was Here (DNA Remix)                                                                          |Loneliness               |
|23         | Lily Was Here (DNA Remix)                                                                          |Party                    |
|23         | Lily Was Here (DNA Remix)                                                                          |Drugs                    |
|23         | Lily Was Here (DNA Remix)                                                                          |Sadness                  |
|24         | Blue Skies                                                                                         |Happiness                |
|24         | Blue Skies                                                                                         |Brave                    |
|24         | Blue Skies                                                                                         |Freedom                  |
