"id","lyric","title","description"
11,"Maybe
There I was
Waiting for a chance
Hoping that you'll understand
The things I wanna say
As my love went stronger than before
I wanna see you more and more
But you closed your door
Why don't you try
To open up your heart
I won't take so much of your time
Maybe, it's wrong to say please love me too
'Cause I know you'll never do
Somebody else is waiting there inside for you
Maybe it's wrong to love you more each day
'Cause I know he's here to stay
But I know to whom you should belong
I believed what you said to me
We should set each other free
That's how you want it to be
But my love went stronger than before
I wanna see you more and more
But you closed your door
Why don't you try to open up your heart
I won't take so much of your time
Maybe, it's wrong to say please love me too
'Cause I know you'll never do
Somebody else is waiting there inside for you
Maybe it's wrong to love you more each day
'Cause I know he's here to stay
But my love is strong
I don't know if this is wrong
But I know to whom you should belong
Maybe, it's wrong to say please love me too
'Cause I know you'll never do
Somebody else is waiting there inside for you
Maybe it's wrong to love you more each day
'Cause I know he's here to stay
But my love is strong
I don't know if this is wrong
But I know to whom you should belong
", Maybe ,Future
11,"Maybe
There I was
Waiting for a chance
Hoping that you'll understand
The things I wanna say
As my love went stronger than before
I wanna see you more and more
But you closed your door
Why don't you try
To open up your heart
I won't take so much of your time
Maybe, it's wrong to say please love me too
'Cause I know you'll never do
Somebody else is waiting there inside for you
Maybe it's wrong to love you more each day
'Cause I know he's here to stay
But I know to whom you should belong
I believed what you said to me
We should set each other free
That's how you want it to be
But my love went stronger than before
I wanna see you more and more
But you closed your door
Why don't you try to open up your heart
I won't take so much of your time
Maybe, it's wrong to say please love me too
'Cause I know you'll never do
Somebody else is waiting there inside for you
Maybe it's wrong to love you more each day
'Cause I know he's here to stay
But my love is strong
I don't know if this is wrong
But I know to whom you should belong
Maybe, it's wrong to say please love me too
'Cause I know you'll never do
Somebody else is waiting there inside for you
Maybe it's wrong to love you more each day
'Cause I know he's here to stay
But my love is strong
I don't know if this is wrong
But I know to whom you should belong
", Maybe ,Sadness
11,"Maybe
There I was
Waiting for a chance
Hoping that you'll understand
The things I wanna say
As my love went stronger than before
I wanna see you more and more
But you closed your door
Why don't you try
To open up your heart
I won't take so much of your time
Maybe, it's wrong to say please love me too
'Cause I know you'll never do
Somebody else is waiting there inside for you
Maybe it's wrong to love you more each day
'Cause I know he's here to stay
But I know to whom you should belong
I believed what you said to me
We should set each other free
That's how you want it to be
But my love went stronger than before
I wanna see you more and more
But you closed your door
Why don't you try to open up your heart
I won't take so much of your time
Maybe, it's wrong to say please love me too
'Cause I know you'll never do
Somebody else is waiting there inside for you
Maybe it's wrong to love you more each day
'Cause I know he's here to stay
But my love is strong
I don't know if this is wrong
But I know to whom you should belong
Maybe, it's wrong to say please love me too
'Cause I know you'll never do
Somebody else is waiting there inside for you
Maybe it's wrong to love you more each day
'Cause I know he's here to stay
But my love is strong
I don't know if this is wrong
But I know to whom you should belong
", Maybe ,Love
11,"Maybe
There I was
Waiting for a chance
Hoping that you'll understand
The things I wanna say
As my love went stronger than before
I wanna see you more and more
But you closed your door
Why don't you try
To open up your heart
I won't take so much of your time
Maybe, it's wrong to say please love me too
'Cause I know you'll never do
Somebody else is waiting there inside for you
Maybe it's wrong to love you more each day
'Cause I know he's here to stay
But I know to whom you should belong
I believed what you said to me
We should set each other free
That's how you want it to be
But my love went stronger than before
I wanna see you more and more
But you closed your door
Why don't you try to open up your heart
I won't take so much of your time
Maybe, it's wrong to say please love me too
'Cause I know you'll never do
Somebody else is waiting there inside for you
Maybe it's wrong to love you more each day
'Cause I know he's here to stay
But my love is strong
I don't know if this is wrong
But I know to whom you should belong
Maybe, it's wrong to say please love me too
'Cause I know you'll never do
Somebody else is waiting there inside for you
Maybe it's wrong to love you more each day
'Cause I know he's here to stay
But my love is strong
I don't know if this is wrong
But I know to whom you should belong
", Maybe ,Obsessive-compulsive
12,"Thank you for watching over me
All of the sleepless nights you lay awake
Thank you for knowing when to hold me close
and when to let me go
Thank you for every stepping stone
And for the path that always leads me home
I thank you for the time you took
to see the heart inside of me
You gave me the roots to start this life
and then you gave me wings to fly
And I learned to dream
Because you believed in me
There's no power like it on this earth
No treasure equal to its worth
The gift of a mother's love
Thank you for every sunlit day
That filled the corners of my memory
Thank you for every selfless unsung deed
I know you did for me
Thank you for giving me the choice
To search my soul till I could find my voice
And I thank you for teaching me
To be strong enough to bend
You gave me the roots to start this life
and then you gave me wings to fly
And I learned to dream
Because you believed in me
There's no power like it on this earth
No treasure equal to its worth
The gift of a mother's love
I thank God for a mother's love
", A Mothers Love ,Love
12,"Thank you for watching over me
All of the sleepless nights you lay awake
Thank you for knowing when to hold me close
and when to let me go
Thank you for every stepping stone
And for the path that always leads me home
I thank you for the time you took
to see the heart inside of me
You gave me the roots to start this life
and then you gave me wings to fly
And I learned to dream
Because you believed in me
There's no power like it on this earth
No treasure equal to its worth
The gift of a mother's love
Thank you for every sunlit day
That filled the corners of my memory
Thank you for every selfless unsung deed
I know you did for me
Thank you for giving me the choice
To search my soul till I could find my voice
And I thank you for teaching me
To be strong enough to bend
You gave me the roots to start this life
and then you gave me wings to fly
And I learned to dream
Because you believed in me
There's no power like it on this earth
No treasure equal to its worth
The gift of a mother's love
I thank God for a mother's love
", A Mothers Love ,Family
12,"Thank you for watching over me
All of the sleepless nights you lay awake
Thank you for knowing when to hold me close
and when to let me go
Thank you for every stepping stone
And for the path that always leads me home
I thank you for the time you took
to see the heart inside of me
You gave me the roots to start this life
and then you gave me wings to fly
And I learned to dream
Because you believed in me
There's no power like it on this earth
No treasure equal to its worth
The gift of a mother's love
Thank you for every sunlit day
That filled the corners of my memory
Thank you for every selfless unsung deed
I know you did for me
Thank you for giving me the choice
To search my soul till I could find my voice
And I thank you for teaching me
To be strong enough to bend
You gave me the roots to start this life
and then you gave me wings to fly
And I learned to dream
Because you believed in me
There's no power like it on this earth
No treasure equal to its worth
The gift of a mother's love
I thank God for a mother's love
", A Mothers Love ,Freedom
12,"Thank you for watching over me
All of the sleepless nights you lay awake
Thank you for knowing when to hold me close
and when to let me go
Thank you for every stepping stone
And for the path that always leads me home
I thank you for the time you took
to see the heart inside of me
You gave me the roots to start this life
and then you gave me wings to fly
And I learned to dream
Because you believed in me
There's no power like it on this earth
No treasure equal to its worth
The gift of a mother's love
Thank you for every sunlit day
That filled the corners of my memory
Thank you for every selfless unsung deed
I know you did for me
Thank you for giving me the choice
To search my soul till I could find my voice
And I thank you for teaching me
To be strong enough to bend
You gave me the roots to start this life
and then you gave me wings to fly
And I learned to dream
Because you believed in me
There's no power like it on this earth
No treasure equal to its worth
The gift of a mother's love
I thank God for a mother's love
", A Mothers Love ,Friendship
13,"Of all the boys I've known, and I've known some
Until I first met you, I was lonesome
And when you came in sight, dear, my heart grew light
And this old world seemed new to me
You're really swell, I have to admit you
Deserve expressions that really fit you
And so I've racked my brain, hoping to explain
All the things that you do to me
Bei mir bist du schoen, please let me explain
Bei mir bist du schoen means you're grand
Bei mir bist du schoen, again I'll explain
It means you're the fairest in the land
I could say Bella, bella, even say Wunderbar
Each language only helps me tell you how grand you are
I've tried to explain, bei mir bist du schoen
So kiss me and say you understand
Bei mir bist du schoen, you've heard it all before
but let me try to explain
Bei mir bist du schoen means that you're grand
Bei mir bist du schoen, it's such an old refrain
and yet I should explain
It means I am begging for your hand
I could say Bella, bella, even say Wunderbar
Each language only helps me tell you how grand you are
I could say Bella, bella, even say Wunderbar
Each language only helps me tell you how grand you are
I've tried to explain, bei mir bist du schoen
So kiss me and say that you will understand
", Bei Mir Bist Du Schoen ,Loneliness
13,"Of all the boys I've known, and I've known some
Until I first met you, I was lonesome
And when you came in sight, dear, my heart grew light
And this old world seemed new to me
You're really swell, I have to admit you
Deserve expressions that really fit you
And so I've racked my brain, hoping to explain
All the things that you do to me
Bei mir bist du schoen, please let me explain
Bei mir bist du schoen means you're grand
Bei mir bist du schoen, again I'll explain
It means you're the fairest in the land
I could say Bella, bella, even say Wunderbar
Each language only helps me tell you how grand you are
I've tried to explain, bei mir bist du schoen
So kiss me and say you understand
Bei mir bist du schoen, you've heard it all before
but let me try to explain
Bei mir bist du schoen means that you're grand
Bei mir bist du schoen, it's such an old refrain
and yet I should explain
It means I am begging for your hand
I could say Bella, bella, even say Wunderbar
Each language only helps me tell you how grand you are
I could say Bella, bella, even say Wunderbar
Each language only helps me tell you how grand you are
I've tried to explain, bei mir bist du schoen
So kiss me and say that you will understand
", Bei Mir Bist Du Schoen ,Love
