ID,TITLE,LYRICS,God,Travel,Religion,Post-traumatic,Psychotic,Party,Nostalgia,Feminism,Relationship,Drugs,Personality-disorder,Maniac,Vengeance,Poverty,Adventure,College,Masculism,Mindset,Personal-Style,Obsessive-compulsive,Freedom,Loneliness,Chaos,Break-up,Sadness,Future,Nightlife,Narcissist,Capitalism,Friendship,Childhood,Youthful,Brave,Love,Riot,Family,Regreat,Country-Life,Free-Speech,Prostitution,Society,Servitude,Depression,Hope,Money,Selfishness,Respect,Fear,Celebration,Happiness,Disappointment
165, Fever ,never know much love never know much care put arms around get fever hard bear give fever kiss fever hold tight fever mornin fever night sun lights day time moon lights night light call name know gon na treat right give fever kiss fever hold tight fever fever night everybody got fever somethin know fever new thing fever started long ago romeo loved juliet juliet felt put arms around said julie baby flame thou givest fever kisseth fever thy flaming youth fever fire fever yeah burn forsooth captain smith pocahontas mad affair daddy tried kill said daddy oh dare gives fever kisses fever holds tight fever missus daddy wo treat right listened story point made chicks born give fever fahrenheit centigrade give fever kiss fever live learn fever till sizzle oh lovely way burn lovely way burn lovely way burn lovely way burn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1149, I've Got You Under My Skin ,got skin got deep heart deep heart really part got skin tried give said affair never go well try resist baby know well got skin sacrifice anything come might sake near spite warning voice comes night repeats repeats ear know little fool never win use mentality wake reality time thought makes stop begin got skin would sacrifice anything come might sake near spite warning voice comes night repeats yells ear know little fool never win use mentality step wake reality time thought makes stop begin got skin yes got skin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132, Blue Moon ,blue moon saw standing alone without dream heart without love blue moon knew heard saying prayer someone really could care suddenly appeared one arms ever hold heard somebody whisper please adore looked moon turned gold blue moon longer alone without dream heart without love blue moon saw standing alone without dream heart without love blue moon knew heard saying prayer someone really could care suddenly appeared one arms ever hold heard somebody whisper please adore looked moon turned gold blue moon longer alone without dream heart without love blue moon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
131, Orange Colored Sky ,walking along mindin business orange colored sky flash bam alakazam wonderful came hummin tune drinkin sunshine orange colored view flash bam alakazam got look one look yelled timber watch flying glass ceiling fell bottom fell went spin started shout hit walking along mindin business love came hit eye flash bam alakazam orange colored sky well one look yelled timber watch flying glass ceiling fell bottom fell went spin started shout hit hit walkin along mindin business love came hit eye flash bam alakazam orange colored purple striped pretty green sky flash bam alakazam goodbye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
137, Good Morning ,good morning good morning danced whole night good morning good morning good morning good morning great stay late good morning good morning band began play sun shining bright milkman way late say goodnight good morning good morning sunbeams soon smile good morning darling together couple day done breakfast time starts supper together ah best friends must party let sing party song bottom hearty good morning lovely morning good morning wonderful day danced whole night good morning good morning said good morning see sun shining good morning hear birdies sing great stay late good morning good morning band began play stars shining bright milkman way late say goodnight good morning good morning sunbeams soon smile good morning good morning good morning darling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
136, Something Stupid ,know stand line think time spend evening go place dance know chance wo leaving afterwards drop quiet little place drink two go spoil saying something stupid like love see eyes despise old lies heard night though line true never seemed right practice every day find clever lines say make meaning come true think wait evening gets late alone time right perfume fills head stars get red oh night blue go spoil saying something stupid like love time right perfume fills head stars get red oh night blue go spoil saying something stupid like love love love love,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135, Set You Free ,often fool say love cause gone end lonely know let go manytimes weshared precious moments later realized stolen moments know let go loving means happy hope loving must mean really set free day meet love keeps growing stronger everytime meet makes leaving much harder know let go loving means happy hope loving must mean really set free letting go easy task smiling feels like must wear lonely mask hurts deep inside hide anguish thought part loving means happy hope loving must mean really set free loving means happy hope loving must mean really set free,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134, After You've Gone ,gone left crying gone denying feel blue feel sad miss dearest pal ever come time forget come time regret day grow lonely heart break like mine want gone gone away gone break gone gon na wake find blind let somebody come change mind years together thought joy tears kind weather someday blue downhearted long right back started gone gone away find blind let somebody come change mind someday blue downhearted long right back started gone gone away feel blue feel sad miss dearest pal ever someday grown lonely heart break like mine want gone gone away made sad blue nothing say jack way miss ella ok,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139," Hey, Good Lookin' ",hey hey good lookin whatcha got cookin cookin somethin hey sweet baby think maybe could find us brand new recipe got ford bill know spot right hill soda pop dancin free wan na fun come along hey good lookin whatcha got cookin cookin somethin free ready go steady savin time lookin know tooken sic keepin steady company gon na throw fence find one five ten cents keep covered age writin name every page hey good lookin whatcha got cookin cookin somethin,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
138, Show Them To Me ,oh seems whole world gone crazy much hate killin goin see bare chest woman worrys problems gone one thinks fightin see topless girl baby would show could save world show show unclasp bra set puppies free look whole lot better without sweater baby sure agree got two fun bags show care match ones bigger could show one imagine even really old theres nothing wrong sad boobs ai bad little long show show lift shirt let whole world see disrobe show globes happy man got dos chichi show met lot never one hated even thirteen kids think look deflated theres thing bad breast believe much true big fat man titty fan love see toooo show show like girls gone wild lean back show rack ecstasy got two casabas show world live harmony good give wood make history love country gon na say one time said love country yea stand ass show big old titties,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
